JPY,GBP,708004
EUR,JPY,318889
JPY,EUR,441347
USD,GBP,239644
TRY,JPY,146547
EUR,GBP,977218
GBP,USD,626835
JPY,USD,865449
USD,TRY,187332
JPY,TRY,296057
USD,JPY,495501
GBP,EUR,30451
TRY,GBP,612702
EUR,TRY,253204
EUR,USD,125830
USD,EUR,595797
TRY,USD,45499
TRY,EUR,238571
GBP,JPY,590348
GBP,TRY,90219
USD,EUR,527304
EUR,JPY,887994
USD,JPY,409228
USD,TRY,791799
TRY,USD,612163
TRY,GBP,499845
JPY,EUR,191891
GBP,TRY,825769
EUR,TRY,843506
EUR,USD,311178
JPY,TRY,129785
EUR,GBP,950940
USD,GBP,435759
GBP,USD,9395
GBP,JPY,29938
JPY,USD,906936
TRY,EUR,827860
TRY,JPY,236146
GBP,EUR,49679
JPY,GBP,575039
GBP,EUR,775693
EUR,USD,762870
EUR,TRY,723895
JPY,TRY,588987
GBP,USD,136991
TRY,JPY,444229
JPY,EUR,367337
TRY,EUR,314773
JPY,USD,632475
USD,GBP,38138
TRY,USD,54685
USD,EUR,874183
USD,JPY,747175
GBP,TRY,597857
JPY,GBP,83797
TRY,GBP,390191
EUR,GBP,707000
USD,TRY,896754
GBP,JPY,899837
EUR,JPY,171922
EUR,USD,330589
TRY,USD,966356
EUR,TRY,282344
TRY,GBP,273878
USD,EUR,853693
GBP,TRY,579985
GBP,EUR,459163
TRY,JPY,340927
GBP,JPY,247069
JPY,USD,612878
JPY,GBP,174480
JPY,EUR,329480
USD,GBP,322250
EUR,JPY,201649
USD,TRY,502704
JPY,TRY,8629
TRY,EUR,645707
GBP,USD,853033
EUR,GBP,473289
USD,JPY,905481
TRY,GBP,940699
GBP,JPY,760284
GBP,EUR,868021
GBP,TRY,938226
USD,JPY,13266
GBP,USD,128572
JPY,USD,905008
TRY,EUR,156442
EUR,GBP,255798
EUR,JPY,298053
USD,EUR,813628
JPY,GBP,829883
JPY,TRY,575276
TRY,JPY,890467
USD,GBP,911735
USD,TRY,636536
EUR,USD,150336
TRY,USD,875085
JPY,EUR,866214
EUR,TRY,892587
