USD,GBP,514663
GBP,JPY,926931
USD,EUR,523499
GBP,USD,646789
USD,TRY,113125
JPY,USD,255541
EUR,TRY,946129
GBP,TRY,817881
JPY,TRY,557141
EUR,USD,693415
TRY,GBP,793219
TRY,JPY,513064
USD,JPY,901801
EUR,GBP,370519
TRY,EUR,511695
EUR,JPY,226967
JPY,EUR,815576
GBP,EUR,621516
JPY,GBP,834774
TRY,USD,149598
USD,JPY,406671
USD,GBP,665253
TRY,USD,975673
EUR,USD,118773
USD,EUR,104240
JPY,USD,710237
GBP,EUR,50801
GBP,TRY,661300
EUR,JPY,9089
TRY,GBP,69096
JPY,TRY,390008
TRY,EUR,347817
USD,TRY,117483
JPY,GBP,941475
EUR,TRY,818954
TRY,JPY,504716
GBP,JPY,484376
GBP,USD,110627
JPY,EUR,827668
EUR,GBP,866508
JPY,TRY,687644
EUR,TRY,754164
JPY,EUR,476909
USD,EUR,319232
TRY,USD,994691
GBP,JPY,637987
TRY,EUR,314716
EUR,JPY,845011
JPY,USD,647989
USD,TRY,412381
EUR,USD,481522
USD,GBP,826250
EUR,GBP,159685
TRY,GBP,527088
GBP,EUR,597221
GBP,TRY,118753
USD,JPY,316886
GBP,USD,149691
JPY,GBP,978062
TRY,JPY,927586
GBP,JPY,102901
JPY,EUR,732818
TRY,USD,348357
EUR,USD,117588
TRY,GBP,188242
EUR,GBP,910445
GBP,USD,700794
EUR,JPY,789870
USD,EUR,130458
JPY,USD,389717
GBP,TRY,388953
TRY,EUR,728760
USD,TRY,621552
JPY,TRY,394694
USD,GBP,244038
EUR,TRY,332533
TRY,JPY,305006
GBP,EUR,731928
JPY,GBP,785697
USD,JPY,213702
TRY,GBP,405646
EUR,GBP,13618
GBP,JPY,579650
JPY,EUR,546496
USD,GBP,403324
GBP,USD,56247
USD,TRY,310943
EUR,JPY,872356
TRY,EUR,250788
USD,JPY,682013
JPY,TRY,804190
EUR,USD,380189
GBP,TRY,384945
JPY,GBP,482833
USD,EUR,858618
GBP,EUR,660499
TRY,USD,518241
EUR,TRY,204792
TRY,JPY,804688
JPY,USD,893853
