USD,GBP,254977
TRY,JPY,136689
GBP,TRY,111183
JPY,TRY,790232
TRY,GBP,754366
USD,TRY,327567
GBP,EUR,578275
GBP,JPY,986189
TRY,USD,520649
TRY,EUR,428468
EUR,USD,453650
EUR,GBP,128358
EUR,JPY,491357
EUR,TRY,663343
USD,JPY,385406
USD,EUR,373770
GBP,USD,364184
JPY,EUR,772559
JPY,GBP,37321
JPY,USD,775713
JPY,EUR,524814
USD,TRY,882915
JPY,TRY,996268
USD,GBP,84287
TRY,EUR,807981
JPY,USD,548002
USD,JPY,214092
EUR,USD,62630
TRY,JPY,288712
GBP,JPY,759005
TRY,USD,546425
JPY,GBP,688748
EUR,TRY,852052
GBP,TRY,852393
EUR,GBP,853326
USD,EUR,455559
GBP,EUR,803384
EUR,JPY,507275
TRY,GBP,602087
GBP,USD,524943
USD,GBP,180047
TRY,GBP,828029
EUR,TRY,979067
USD,JPY,533399
JPY,GBP,519599
TRY,EUR,150499
JPY,EUR,835954
GBP,TRY,165777
EUR,USD,966854
GBP,JPY,933540
JPY,USD,63849
TRY,JPY,148561
EUR,JPY,618611
EUR,GBP,341860
USD,TRY,777393
JPY,TRY,332610
GBP,USD,34199
TRY,USD,834575
GBP,EUR,558378
USD,EUR,119756
EUR,GBP,969958
JPY,EUR,64444
TRY,GBP,561929
GBP,EUR,653458
JPY,TRY,264165
EUR,USD,263571
JPY,GBP,364114
GBP,JPY,255658
USD,GBP,208206
EUR,JPY,694380
GBP,USD,737458
TRY,EUR,772182
JPY,USD,81973
USD,TRY,535787
USD,JPY,843387
TRY,JPY,740892
TRY,USD,586621
EUR,TRY,663263
USD,EUR,237052
GBP,TRY,390442
TRY,EUR,442756
TRY,JPY,564937
USD,TRY,639213
GBP,USD,607044
EUR,GBP,598699
GBP,TRY,835419
TRY,GBP,428070
TRY,USD,903442
JPY,TRY,753021
USD,GBP,513741
JPY,GBP,899225
EUR,TRY,109716
EUR,USD,698200
EUR,JPY,36850
USD,JPY,392769
JPY,EUR,996576
GBP,JPY,975510
GBP,EUR,923011
USD,EUR,587067
JPY,USD,496897
