USD,EUR,272739
JPY,EUR,345435
EUR,GBP,429505
TRY,EUR,191980
JPY,TRY,579228
GBP,JPY,716555
USD,TRY,254738
GBP,EUR,746138
GBP,USD,165703
USD,GBP,571575
JPY,USD,555759
EUR,TRY,267500
JPY,GBP,793783
EUR,JPY,582756
TRY,GBP,980450
TRY,USD,260629
TRY,JPY,41920
USD,JPY,635743
GBP,TRY,541857
EUR,USD,120258
JPY,USD,207996
EUR,USD,845177
EUR,TRY,76689
TRY,GBP,741815
USD,JPY,769397
GBP,TRY,639767
USD,EUR,108596
USD,GBP,474335
JPY,TRY,527915
GBP,JPY,201078
JPY,GBP,968336
EUR,JPY,443070
TRY,JPY,768066
TRY,USD,763237
GBP,USD,598628
GBP,EUR,151286
USD,TRY,145317
JPY,EUR,572577
TRY,EUR,717313
EUR,GBP,150189
USD,GBP,769340
GBP,TRY,973564
USD,EUR,680258
GBP,JPY,980898
GBP,EUR,121533
TRY,JPY,564450
JPY,USD,619796
GBP,USD,587263
JPY,GBP,367947
USD,JPY,29343
EUR,JPY,970946
JPY,EUR,751973
TRY,GBP,230982
TRY,USD,332260
USD,TRY,431234
EUR,GBP,226517
JPY,TRY,280788
EUR,TRY,537904
EUR,USD,949073
TRY,EUR,181212
USD,TRY,709764
USD,GBP,814206
GBP,EUR,611972
EUR,GBP,913903
GBP,USD,436402
JPY,GBP,890420
TRY,USD,49482
GBP,TRY,107827
JPY,EUR,559871
EUR,JPY,569211
EUR,USD,20990
EUR,TRY,644172
TRY,GBP,764121
JPY,USD,744219
USD,EUR,951015
TRY,EUR,850040
GBP,JPY,54298
USD,JPY,44574
TRY,JPY,8264
JPY,TRY,517675
JPY,EUR,830726
GBP,JPY,915391
EUR,USD,774048
GBP,USD,101870
USD,TRY,789570
JPY,USD,457401
USD,GBP,525468
EUR,JPY,292000
TRY,EUR,774138
EUR,GBP,929937
GBP,TRY,512528
JPY,GBP,110533
GBP,EUR,91053
USD,EUR,606854
TRY,USD,719068
EUR,TRY,71382
USD,JPY,483297
TRY,JPY,406045
JPY,TRY,375643
TRY,GBP,1543
